datetime,location_id,parameter_id,parameter_value
2011-04-17,sha,15,3972692
2011-04-18,sha,15,3986890
2011-04-19,sha,15,4003589
2011-04-20,sha,15,4027772
2011-04-21,sha,15,4057857
2011-04-22,sha,15,4081989
2011-04-23,sha,15,4105102
2011-04-24,sha,15,4129985
2011-04-25,sha,15,4154687
2011-04-26,sha,15,4178356
2011-04-27,sha,15,4203538
2011-04-28,sha,15,4223439
2011-04-29,sha,15,4247388
2011-04-30,sha,15,4266264
2011-05-01,sha,15,4282908
2011-05-02,sha,15,4298446
2011-05-03,sha,15,4309976
2011-05-04,sha,15,4321813
2011-05-05,sha,15,4332817
2011-05-06,sha,15,4344690
2011-05-07,sha,15,4354242
2011-05-08,sha,15,4361477
2011-05-09,sha,15,4370738
2011-05-10,sha,15,4377984
2011-05-11,sha,15,4385251
2011-05-12,sha,15,4393100
2011-05-13,sha,15,4400658
2011-05-14,sha,15,4412029
2011-05-15,sha,15,4424003
2011-05-16,sha,15,4431597
2011-05-17,sha,15,4443027
2011-05-18,sha,15,4448602
2011-05-19,sha,15,4458283
2011-05-20,sha,15,4461216
2011-05-21,sha,15,4463859
2011-05-22,sha,15,4466512
2011-05-23,sha,15,4471522
2011-05-24,sha,15,4472112
2011-05-25,sha,15,4477417
2011-05-26,sha,15,4480953
2011-05-27,sha,15,4480953
2011-05-28,sha,15,4481248
2011-05-29,sha,15,4478006
2011-05-30,sha,15,4482722
2011-05-31,sha,15,4486848
2011-06-01,sha,15,4491268
2011-06-02,sha,15,4492153
2011-06-03,sha,15,4489795
2011-06-04,sha,15,4473290
2011-06-05,sha,15,4457403
2011-06-06,sha,15,4444494
2011-06-07,sha,15,4430136
2011-06-08,sha,15,4418746
2011-06-09,sha,15,4416702
2011-06-10,sha,15,4420499
2011-06-11,sha,15,4425172
2011-06-12,sha,15,4433641
2011-06-13,sha,15,4436867
2011-06-14,sha,15,4436867
2011-06-15,sha,15,4438040
2011-06-16,sha,15,4439800
2011-06-17,sha,15,4439800
2011-06-18,sha,15,4438627
2011-06-19,sha,15,4435987
2011-06-20,sha,15,4435693
2011-06-21,sha,15,4434226
2011-06-22,sha,15,4429260
2011-06-23,sha,15,4424879
2011-06-24,sha,15,4422835
2011-06-25,sha,15,4418454
2011-06-26,sha,15,4414658
2011-06-27,sha,15,4409693
2011-06-28,sha,15,4410861
2011-06-29,sha,15,4408233
2011-06-30,sha,15,4401530
2011-07-01,sha,15,4395426
2011-07-02,sha,15,4388158
2011-07-03,sha,15,4381181
2011-07-04,sha,15,4372764
2011-07-05,sha,15,4363792
2011-07-06,sha,15,4353373
2011-07-07,sha,15,4342084
2011-07-08,sha,15,4330790
2011-07-09,sha,15,4320655
2011-07-10,sha,15,4310265
2011-07-11,sha,15,4298735
2011-07-12,sha,15,4288647
2011-07-13,sha,15,4277743
2011-07-14,sha,15,4267125
2011-07-15,sha,15,4253670
2011-07-16,sha,15,4239964
2011-07-17,sha,15,4226566
2011-07-18,sha,15,4212351
2011-07-19,sha,15,4199859
2011-07-20,sha,15,4186561
2011-07-21,sha,15,4172990
2011-07-22,sha,15,4159192
2011-07-23,sha,15,4145681
2011-07-24,sha,15,4131386
2011-07-25,sha,15,4117378
2011-07-26,sha,15,4103708
2011-07-27,sha,15,4090041
2011-07-28,sha,15,4078379
2011-07-29,sha,15,4063941
2011-07-30,sha,15,4049567
2011-07-31,sha,15,4034923
2011-08-01,sha,15,4021171
2011-08-02,sha,15,4008794
2011-08-03,sha,15,3994008
2011-08-04,sha,15,3980594
2011-08-05,sha,15,3965881
2011-08-06,sha,15,3950907
2011-08-07,sha,15,3936536
2011-08-08,sha,15,3922184
2011-08-09,sha,15,3909232
2011-08-10,sha,15,3895756
2011-08-11,sha,15,3883133
2011-08-12,sha,15,3868915
2011-08-13,sha,15,3856354
2011-08-14,sha,15,3843003
2011-08-15,sha,15,3829169
2011-08-16,sha,15,3816413
2011-08-17,sha,15,3803178
2011-08-18,sha,15,3789146
2011-08-19,sha,15,3777226
2011-08-20,sha,15,3763728
2011-08-21,sha,15,3749759
2011-08-22,sha,15,3737121
2011-08-23,sha,15,3725057
2011-08-24,sha,15,3712734
2011-08-25,sha,15,3699683
2011-08-26,sha,15,3686636
2011-08-27,sha,15,3673130
2011-08-28,sha,15,3659116
2011-08-29,sha,15,3645676
2011-08-30,sha,15,3631995
2011-08-31,sha,15,3619135
2011-09-01,sha,15,3607316
2011-09-02,sha,15,3594776
2011-09-03,sha,15,3582500
2011-09-04,sha,15,3569259
2011-09-05,sha,15,3557298
2011-09-06,sha,15,3545388
2011-09-07,sha,15,3533478
2011-09-08,sha,15,3520871
2011-09-09,sha,15,3509525
2011-09-10,sha,15,3497977
2011-09-11,sha,15,3487438
2011-09-12,sha,15,3478430
2011-09-13,sha,15,3468694
2011-09-14,sha,15,3459957
2011-09-15,sha,15,3452249
2011-09-16,sha,15,3443555
2011-09-17,sha,15,3435607
2011-09-18,sha,15,3426698
2011-09-19,sha,15,3418541
2011-09-20,sha,15,3411127
2011-09-21,sha,15,3404720
2011-09-22,sha,15,3399064
2011-09-23,sha,15,3392424
2011-09-24,sha,15,3383817
2011-09-25,sha,15,3376233
2011-09-26,sha,15,3369626
2011-09-27,sha,15,3362531
2011-09-28,sha,15,3355457
2011-09-29,sha,15,3348640
2011-09-30,sha,15,3341094
2011-10-01,sha,15,3334282
2011-10-02,sha,15,3327257
2011-10-03,sha,15,3321201
2011-10-04,sha,15,3318779
2011-10-05,sha,15,3315630
2011-10-06,sha,15,3310786
2011-10-07,sha,15,3304762
2011-10-08,sha,15,3299701
2011-10-09,sha,15,3293676
2011-10-10,sha,15,3291267
2011-10-11,sha,15,3286688
2011-10-12,sha,15,3281394
2011-10-13,sha,15,3278265
2011-10-14,sha,15,3270804
2011-10-15,sha,15,3265509
2011-10-16,sha,15,3262383
2011-10-17,sha,15,3261425
2011-10-18,sha,15,3260228
2011-10-19,sha,15,3259031
2011-10-20,sha,15,3256877
2011-10-21,sha,15,3253764
2011-10-22,sha,15,3251130
2011-10-23,sha,15,3248976
2011-10-24,sha,15,3246342
2011-10-25,sha,15,3242751
2011-10-26,sha,15,3240596
2011-10-27,sha,15,3238682
2011-10-28,sha,15,3236776
2011-10-29,sha,15,3233679
2011-10-30,sha,15,3229629
2011-10-31,sha,15,3226770
2011-11-01,sha,15,3223673
2011-11-02,sha,15,3222482
2011-11-03,sha,15,3220815
2011-11-04,sha,15,3218194
2011-11-05,sha,15,3217241
2011-11-06,sha,15,3215097
2011-11-07,sha,15,3212964
2011-11-08,sha,15,3209647
2011-11-09,sha,15,3205145
2011-11-10,sha,15,3201590
2011-11-11,sha,15,3198036
2011-11-12,sha,15,3194718
2011-11-13,sha,15,3191401
2011-11-14,sha,15,3185977
2011-11-15,sha,15,3181733
2011-11-16,sha,15,3178196
2011-11-17,sha,15,3173715
2011-11-18,sha,15,3170414
2011-11-19,sha,15,3168763
2011-11-20,sha,15,3165475
2011-11-21,sha,15,3161487
2011-11-22,sha,15,3160314
2011-11-23,sha,15,3160549
2011-11-24,sha,15,3160784
2011-11-25,sha,15,3158673
2011-11-26,sha,15,3157031
2011-11-27,sha,15,3154685
2011-11-28,sha,15,3153043
2011-11-29,sha,15,3152105
2011-11-30,sha,15,3150229
2011-12-01,sha,15,3149994
2011-12-02,sha,15,3152574
2011-12-03,sha,15,3153747
2011-12-04,sha,15,3153278
2011-12-05,sha,15,3151402
2011-12-06,sha,15,3149291
2011-12-07,sha,15,3146476
2011-12-08,sha,15,3145772
2011-12-09,sha,15,3144834
2011-12-10,sha,15,3144834
2011-12-11,sha,15,3144600
2011-12-12,sha,15,3144365
2011-12-13,sha,15,3142965
2011-12-14,sha,15,3140165
2011-12-15,sha,15,3138065
2011-12-16,sha,15,3135264
2011-12-17,sha,15,3132698
2011-12-18,sha,15,3129664
2011-12-19,sha,15,3125930
2011-12-20,sha,15,3127564
2011-12-21,sha,15,3130597
2011-12-22,sha,15,3124764
2011-12-23,sha,15,3119637
2011-12-24,sha,15,3114530
2011-12-25,sha,15,3111513
2011-12-26,sha,15,3108495
2011-12-27,sha,15,3108495
2011-12-28,sha,15,3107566
2011-12-29,sha,15,3102460
2011-12-30,sha,15,3100138
2011-12-31,sha,15,3094584
2012-01-01,sha,15,3089965
2012-01-02,sha,15,3086732
2012-01-03,sha,15,3079804
2012-01-04,sha,15,3076340
2012-01-05,sha,15,3072655
2012-01-06,sha,15,3068750
2012-01-07,sha,15,3065993
2012-01-08,sha,15,3064845
2012-01-09,sha,15,3060939
2012-01-10,sha,15,3058872
2012-01-11,sha,15,3055196
2012-01-12,sha,15,3052669
2012-01-13,sha,15,3050836
2012-01-14,sha,15,3049922
2012-01-15,sha,15,3048550
2012-01-16,sha,15,3046950
2012-01-17,sha,15,3044894
2012-01-18,sha,15,3045351
2012-01-19,sha,15,3049922
2012-01-20,sha,15,3061628
2012-01-21,sha,15,3069209
2012-01-22,sha,15,3078418
2012-01-23,sha,15,3088118
2012-01-24,sha,15,3094353
2012-01-25,sha,15,3096893
2012-01-26,sha,15,3100835
2012-01-27,sha,15,3103852
2012-01-28,sha,15,3104085
2012-01-29,sha,15,3105477
2012-01-30,sha,15,3105942
2012-01-31,sha,15,3107334
2012-02-01,sha,15,3108727
2012-02-02,sha,15,3110352
2012-02-03,sha,15,3111977
2012-02-04,sha,15,3113138
2012-02-05,sha,15,3114530
2012-02-06,sha,15,3116155
2012-02-07,sha,15,3119405
2012-02-08,sha,15,3122430
2012-02-09,sha,15,3124764
2012-02-10,sha,15,3125464
2012-02-11,sha,15,3129897
2012-02-12,sha,15,3134331
2012-02-13,sha,15,3138765
2012-02-14,sha,15,3141331
2012-02-15,sha,15,3143198
2012-02-16,sha,15,3145772
2012-02-17,sha,15,3149056
2012-02-18,sha,15,3152340
2012-02-19,sha,15,3153982
2012-02-20,sha,15,3156562
2012-02-21,sha,15,3157969
2012-02-22,sha,15,3158673
2012-02-23,sha,15,3157969
2012-02-24,sha,15,3159142
2012-02-25,sha,15,3159611
2012-02-26,sha,15,3160549
2012-02-27,sha,15,3162191
2012-02-28,sha,15,3162191
2012-02-29,sha,15,3169235
2012-03-01,sha,15,3170414
2012-03-02,sha,15,3171121
2012-03-03,sha,15,3174187
2012-03-04,sha,15,3177960
2012-03-05,sha,15,3180554
2012-03-06,sha,15,3182440
2012-03-07,sha,15,3183855
2012-03-08,sha,15,3185270
2012-03-09,sha,15,3186213
2012-03-10,sha,15,3188100
2012-03-11,sha,15,3190929
2012-03-12,sha,15,3194008
2012-03-13,sha,15,3210121
2012-03-14,sha,15,3238444
2012-03-15,sha,15,3291990
2012-03-16,sha,15,3369137
2012-03-17,sha,15,3423237
2012-03-18,sha,15,3455229
2012-03-19,sha,15,3476932
2012-03-20,sha,15,3492206
2012-03-21,sha,15,3505755
2012-03-22,sha,15,3520367
2012-03-23,sha,15,3536265
2012-03-24,sha,15,3549949
2012-03-25,sha,15,3566967
2012-03-26,sha,15,3579190
2012-03-27,sha,15,3618620
2012-03-28,sha,15,3677545
2012-03-29,sha,15,3717976
2012-03-30,sha,15,3780670
2012-03-31,sha,15,3853414
2012-04-01,sha,15,3907343
2012-04-02,sha,15,3945213
2012-04-03,sha,15,3976234
2012-04-04,sha,15,4001399
2012-04-05,sha,15,4022546
2012-04-06,sha,15,4043211
2012-04-07,sha,15,4058686
2012-04-08,sha,15,4074770
2012-04-09,sha,15,4093943
2012-04-10,sha,15,4110403
2012-04-11,sha,15,4130545
2012-04-12,sha,15,4153560
2012-04-13,sha,15,4189956
2012-04-14,sha,15,4219743
2012-04-15,sha,15,4245389
2012-04-16,sha,15,4264542
2012-04-17,sha,15,4282908
2012-04-18,sha,15,4297005
2012-04-19,sha,15,4308247
2012-04-20,sha,15,4321524
2012-04-21,sha,15,4335134
2012-04-22,sha,15,4348164
2012-04-23,sha,15,4360030
2012-04-24,sha,15,4371317
2012-04-25,sha,15,4384960
2012-04-26,sha,15,4399205
2012-04-27,sha,15,4409693
2012-04-28,sha,15,4420791
2012-04-29,sha,15,4432181
2012-04-30,sha,15,4440094
2012-05-01,sha,15,4447721
2012-05-02,sha,15,4454469
2012-05-03,sha,15,4462977
2012-05-04,sha,15,4467396
2012-05-05,sha,15,4473290
2012-05-06,sha,15,4479480
2012-05-07,sha,15,4483016
2012-05-08,sha,15,4479185
2012-05-09,sha,15,4474764
2012-05-10,sha,15,4471817
2012-05-11,sha,15,4467691
2012-05-12,sha,15,4462977
2012-05-13,sha,15,4457696
2012-05-14,sha,15,4454762
2012-05-15,sha,15,4450948
2012-05-16,sha,15,4445961
2012-05-17,sha,15,4436280
