draft_date,actual_upstream,actual_downstream
7/4/2012,4105,433
7/5/2012,4146,451
7/6/2012,4080,424
7/7/2012,4119,452
7/8/2012,4051,391
7/9/2012,4014,496
7/10/2012,3940,449
7/11/2012,3935,457
7/12/2012,3994,502
7/13/2012,3944,378
7/14/2012,4046,467
7/15/2012,3925,417
7/16/2012,3829,300
7/17/2012,3822,505
7/18/2012,3816,385
7/19/2012,3881,337
7/20/2012,3875,303
7/21/2012,3811,344
7/22/2012,3771,334
7/23/2012,3755,346
7/24/2012,3701,327
7/25/2012,3685,332
7/26/2012,3738,327
7/27/2012,3830,320
7/28/2012,3765,285
7/29/2012,3755,274
7/30/2012,3678,288
7/31/2012,3754,253
8/1/2012,3710,229
8/2/2012,3778,269
8/3/2012,3795,325
8/4/2012,3721,359
8/5/2012,3670,324
8/6/2012,3616,328
8/7/2012,3614,309
8/8/2012,3622,296
8/9/2012,3652,314
8/10/2012,3623,381
8/11/2012,3658,418
8/12/2012,3538,417
8/13/2012,3620,399
8/14/2012,3651,304
8/15/2012,3687,283
8/16/2012,3649,279
8/17/2012,3651,267
8/18/2012,3578,272
8/19/2012,3390,252
8/20/2012,3401,258
8/21/2012,3384,274
8/22/2012,3348,272
8/23/2012,3249,276
8/24/2012,3209,284
8/25/2012,3127,275
8/26/2012,3066,263
8/27/2012,2927,261
8/28/2012,2871,240
8/29/2012,2855,232
8/30/2012,2728,703
8/31/2012,2609,223
9/1/2012,2469,127
9/2/2012,1944,120
9/3/2012,1850,105
9/4/2012,1747,115
9/5/2012,1640,131
9/6/2012,1439,129
9/7/2012,1429,132
9/8/2012,1351,129
9/9/2012,1292,122
9/10/2012,1235,104
9/11/2012,1191,96
9/12/2012,1025,86
9/13/2012,962,83
9/14/2012,1015,72
9/15/2012,914,61
9/16/2012,875,44
9/17/2012,799,45
9/18/2012,747,55
9/19/2012,718,71
9/20/2012,717,69
9/21/2012,713,72
9/22/2012,687,80
9/23/2012,684,84
9/24/2012,693,72
9/25/2012,690,48
9/26/2012,614,23
9/27/2012,602,19
9/28/2012,637,16
9/29/2012,634,10
9/30/2012,580,8
10/1/2012,547,8
10/2/2012,534,13
10/3/2012,565,14
10/4/2012,568,16
10/5/2012,567,20
10/6/2012,582,22
10/7/2012,567,22
10/8/2012,599,20
10/9/2012,655,19
10/10/2012,720,15
10/11/2012,727,12
10/12/2012,832,11
10/13/2012,850,10
10/14/2012,874,10
10/15/2012,841,10
10/16/2012,887,10
10/17/2012,904,3
10/18/2012,895,6
10/19/2012,865,7
10/20/2012,864,10
10/21/2012,867,12
10/22/2012,890,3
10/23/2012,931,0
10/24/2012,978,0
10/25/2012,1062,0
10/26/2012,1196,5
10/27/2012,1375,52
10/28/2012,1422,89
10/29/2012,1452,74
10/30/2012,1499,72
10/31/2012,1569,55
11/1/2012,1496,43
11/2/2012,1686,36
11/3/2012,1549,37
11/4/2012,1505,30
11/5/2012,1567,50
11/6/2012,1678,49
11/7/2012,1644,35
11/8/2012,1616,28
11/9/2012,1563,24
11/10/2012,1562,22
11/11/2012,1528,23
11/12/2012,1537,20
11/13/2012,1535,17
11/14/2012,1652,16
11/15/2012,1628,18
11/16/2012,1506,30
11/17/2012,1488,22
11/18/2012,1342,19
11/19/2012,1329,19
11/20/2012,1336,14
11/21/2012,1395,9
11/22/2012,1266,8
11/23/2012,1149,8
11/24/2012,1149,8
11/25/2012,1160,8
11/26/2012,1152,9
11/27/2012,994,6
11/28/2012,852,1
11/29/2012,833,0
11/30/2012,783,0
12/1/2012,468,0
12/2/2012,425,0
12/3/2012,471,0
12/4/2012,566,1
12/5/2012,580,0
12/6/2012,562,0
12/7/2012,655,0
12/8/2012,589,0
12/9/2012,647,0
12/10/2012,646,0
12/11/2012,662,0
12/12/2012,701,0
